ticker,yfinance_symbol,name,gics_sector,gics_sub_industry
VTRS,VTRS,Viatris,Health Care,Pharmaceuticals
VICI,VICI,Vici Properties,Real Estate,Hotel & Resort REITs
V,V,Visa Inc.,Financials,Transaction & Payment Processing Services
VST,VST,Vistra Corp.,Utilities,Electric Utilities
VMC,VMC,Vulcan Materials Company,Materials,Construction Materials
WRB,WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance
GWW,GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components
WAB,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment
WMT,WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail
DIS,DIS,Walt Disney Company,Communication Services,Movies & Entertainment
WBD,WBD,Warner Bros. Discovery,Communication Services,Broadcasting
WM,WM,Waste Management,Industrials,Environmental & Facilities Services
WAT,WAT,Waters Corporation,Health Care,Life Sciences Tools & Services
WEC,WEC,WEC Energy Group,Utilities,Electric Utilities
WFC,WFC,Wells Fargo,Financials,Diversified Banks
WELL,WELL,Welltower,Real Estate,Health Care REITs
WST,WST,West Pharmaceutical Services,Health Care,Health Care Supplies
WDC,WDC,Western Digital,Information Technology,Technology Hardware Storage & Peripherals
WY,WY,Weyerhaeuser,Real Estate,Timber REITs
WSM,WSM,Williams-Sonoma Inc.,Consumer Discretionary,Homefurnishing Retail
WMB,WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation
WTW,WTW,Willis Towers Watson,Financials,Insurance Brokers
WDAY,WDAY,Workday Inc.,Information Technology,Application Software
WYNN,WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming
XEL,XEL,Xcel Energy,Utilities,Multi-Utilities
XYL,XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components
YUM,YUM,Yum! Brands,Consumer Discretionary,Restaurants
ZBRA,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments
ZBH,ZBH,Zimmer Biomet,Health Care,Health Care Equipment
ZTS,ZTS,Zoetis,Health Care,Pharmaceuticals
