Company Name,Industry,Symbol,Series,ISIN Code,yfinance_symbol
Blue Jet Healthcare Ltd.,Healthcare,BLUEJET,EQ,INE0KBH01020,BLUEJET.NS
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025,BBTC.NS
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,EQ,INE02RE01045,FIRSTCRY.NS
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019,BRIGADE.NS
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023,MAPMYINDIA.NS
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ,INE421D01022,CCL.NS
CESC Ltd.,Power,CESC,EQ,INE486A01021,CESC.NS
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA,EQ,INE536H01010,CIEINDIA.NS
CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025,CRISIL.NS
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020,CANFINHOME.NS
Canara HSBC Life Insurance Company Ltd.,Financial Services,CANHLIFE,EQ,INE01TY01017,CANHLIFE.NS
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026,CAPLIPOINT.NS
Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01042,CGCL.NS
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ,INE120A01034,CARBORUNIV.NS
Cartrade Tech Ltd.,Consumer Services,CARTRADE,EQ,INE290S01011,CARTRADE.NS
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027,CASTROLIND.NS
Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,INE482A01020,CEATLTD.NS
Cemindia Projects Ltd.,Construction,CEMPRO,EQ,INE686A01026,CEMPRO.NS
Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010,CENTRALBK.NS
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011,CDSL.NS
Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016,CHALET.NS
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013,CHAMBLFERT.NS
Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO,EQ,INE178A01016,CHENNPETRO.NS
Choice International Ltd.,Financial Services,CHOICEIN,EQ,INE102B01014,CHOICEIN.NS
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033,CHOLAHLDNG.NS
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021,CUB.NS
Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,INE227W01023,CLEAN.NS
Cohance Lifesciences Ltd.,Healthcare,COHANCE,EQ,INE03QK01018,COHANCE.NS
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01020,CAMS.NS
Concord Biotech Ltd.,Healthcare,CONCORDBIO,EQ,INE338H01029,CONCORDBIO.NS
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN,EQ,INE00LO01017,CRAFTSMAN.NS
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010,CREDITACC.NS
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018,CROMPTON.NS
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020,CYIENT.NS
DCM Shriram Ltd.,Diversified,DCMSHRIRAM,EQ,INE499A01024,DCMSHRIRAM.NS
DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS,EQ,INE321T01012,DOMS.NS
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025,DALBHARAT.NS
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010,DATAPATTNS.NS
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ,INE501A01019,DEEPAKFERT.NS
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029,DEEPAKNTR.NS
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028,DELHIVERY.NS
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023,DEVYANI.NS
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024,LALPATHLAB.NS
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY,EQ,INE126A01031,EIDPARRY.NS
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023,EIHOTEL.NS
Elecon Engineering Co. Ltd.,Capital Goods,ELECON,EQ,INE205B01031,ELECON.NS
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027,ELGIEQUIP.NS
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032,EMAMILTD.NS
Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE,EQ,INE168P01015,EMCURE.NS
Emmvee Photovoltaic Power Ltd.,Capital Goods,EMMVEE,EQ,INE1C6T01020,EMMVEE.NS
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037,ENDURANCE.NS
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028,ENGINERSIN.NS
Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,INE406M01024,ERIS.NS
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014,ESCORTS.NS
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015,FACT.NS
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022,FINCABLES.NS
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012,FSL.NS
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ,INE128S01021,FIVESTAR.NS
Force Motors Ltd.,Automobile and Auto Components,FORCEMOT,EQ,INE451A01017,FORCEMOT.NS
Gabriel India Ltd.,Automobile and Auto Components,GABRIEL,EQ,INE524A01029,GABRIEL.NS
Gallantt Ispat Ltd.,Capital Goods,GALLANTT,EQ,INE297H01019,GALLANTT.NS
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011,GRSE.NS
General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014,GICRE.NS
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,EQ,INE322A01010,GILLETTE.NS
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023,GLAND.NS
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016,GLAXO.NS
Global Health Ltd.,Healthcare,MEDANTA,EQ,INE474Q01031,MEDANTA.NS
Go Digit General Insurance Ltd.,Financial Services,GODIGIT,EQ,INE03JT01014,GODIGIT.NS
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01039,GPIL.NS
Godrej Industries Ltd.,Diversified,GODREJIND,EQ,INE233A01035,GODREJIND.NS
Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020,GRANULES.NS
Graphite India Ltd.,Capital Goods,GRAPHITE,EQ,INE371A01025,GRAPHITE.NS
Gravita India Ltd.,Metals & Mining,GRAVITA,EQ,INE024L01027,GRAVITA.NS
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032,GESHIP.NS
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,EQ,INE09N301011,FLUOROCHEM.NS
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,EQ,INE131A01031,GMDCLTD.NS
H.E.G. Ltd.,Capital Goods,HEG,EQ,INE545A01024,HEG.NS
HBL Engineering Ltd.,Capital Goods,HBLENGINE,EQ,INE292B01021,HBLENGINE.NS
HDB Financial Services Ltd.,Financial Services,HDBFS,EQ,INE756I01012,HDBFS.NS
HFCL Ltd.,Telecommunication,HFCL,BE,INE548A01028,HFCL.NS
Hexaware Technologies Ltd.,Information Technology,HEXT,EQ,INE093A01041,HEXT.NS
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026,HSCL.NS
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026,HINDCOPPER.NS
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST,EQ,INE481N01025,HOMEFIRST.NS
Honasa Consumer Ltd.,Fast Moving Consumer Goods,HONASA,EQ,INE0J5401028,HONASA.NS
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010,HONAUT.NS
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,ICICIPRULI.NS
IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015,IDBI.NS
IFCI Ltd.,Financial Services,IFCI,EQ,INE039A01010,IFCI.NS
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024,IIFL.NS
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022,IRB.NS
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021,IRCON.NS
ITC Hotels Ltd.,Consumer Services,ITCHOTELS,EQ,INE379A01028,ITCHOTELS.NS
ITI Ltd.,Telecommunication,ITI,EQ,INE248A01017,ITI.NS
Indegene Ltd.,Healthcare,INDGN,EQ,INE065X01017,INDGN.NS
India Cements Ltd.,Construction Materials,INDIACEM,EQ,INE383A01012,INDIACEM.NS
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016,INDIAMART.NS
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020,IEX.NS
Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014,IOB.NS
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027,IGL.NS
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011,INOXWIND.NS
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017,INTELLECT.NS
International Gemological Institute Ltd.,Services,IGIL,EQ,INE0Q9301021,IGIL.NS
Inventurus Knowledge Solutions Ltd.,Information Technology,IKS,EQ,INE115Q01022,IKS.NS
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038,IPCALAB.NS
J.K. Cement Ltd.,Construction Materials,JKCEMENT,EQ,INE823G01014,JKCEMENT.NS
JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01051,JBMA.NS
JK Tyre & Industries Ltd.,Automobile and Auto Components,JKTYRE,EQ,INE573A01042,JKTYRE.NS
JM Financial Ltd.,Financial Services,JMFINANCIL,EQ,INE780C01023,JMFINANCIL.NS
JSW Cement Ltd.,Construction Materials,JSWCEMENT,EQ,INE718I01012,JSWCEMENT.NS
JSW Dulux Ltd.,Consumer Durables,JSWDULUX,EQ,INE133A01011,JSWDULUX.NS
JSW Infrastructure Ltd.,Services,JSWINFRA,EQ,INE880J01026,JSWINFRA.NS
Jain Resource Recycling Ltd.,Metals & Mining,JAINREC,EQ,INE0YD401026,JAINREC.NS
Jaiprakash Power Ventures Ltd.,Power,JPPOWER,EQ,INE351F01018,JPPOWER.NS
Jammu & Kashmir Bank Ltd.,Financial Services,J&KBANK,EQ,INE168A01041,J&KBANK.NS
Jindal Saw Ltd.,Capital Goods,JINDALSAW,EQ,INE324A01032,JINDALSAW.NS
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021,JSL.NS
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA,EQ,INE0BY001018,JUBLINGREA.NS
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA,EQ,INE700A01033,JUBLPHARMA.NS
Jupiter Wagons Ltd.,Capital Goods,JWL,EQ,INE209L01016,JWL.NS
Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC,EQ,INE980O01024,JYOTICNC.NS
K.P.R. Mill Ltd.,Textiles,KPRMILL,EQ,INE930H01031,KPRMILL.NS
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036,KAJARIACER.NS
Kalpataru Projects International Ltd.,Construction,KPIL,EQ,INE220B01022,KPIL.NS
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028,KARURVYSYA.NS
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012,KAYNES.NS
Kec International Ltd.,Construction,KEC,EQ,INE389H01022,KEC.NS
Kfin Technologies Ltd.,Financial Services,KFINTECH,EQ,INE138Y01010,KFINTECH.NS
Kirloskar Oil Eng Ltd.,Capital Goods,KIRLOSENG,EQ,INE146L01010,KIRLOSENG.NS
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS,EQ,INE967H01025,KIMS.NS
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017,LTTS.NS
LT Foods Ltd.,Fast Moving Consumer Goods,LTFOODS,EQ,INE818H01020,LTFOODS.NS
Latent View Analytics Ltd.,Information Technology,LATENTVIEW,EQ,INE0I7C01011,LATENTVIEW.NS
Leela Palaces Hotels & Resorts Ltd.,Consumer Services,THELEELA,EQ,INE0AQ201015,THELEELA.NS
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE,EQ,INE970X01018,LEMONTREE.NS
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017,LICI.NS
Linde India Ltd.,Chemicals,LINDEINDIA,EQ,INE473A01011,LINDEINDIA.NS
Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME,EQ,INE281B01032,LLOYDSME.NS
MMTC Ltd.,Services,MMTC,EQ,INE123F01029,MMTC.NS
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010,MGL.NS
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027,MANAPPURAM.NS
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL,EQ,INE103A01014,MRPL.NS
Meesho Ltd.,Consumer Services,MEESHO,EQ,INE0VDM01015,MEESHO.NS
Minda Corporation Ltd.,Automobile and Auto Components,MINDACORP,EQ,INE842C01021,MINDACORP.NS
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,INE0FS801015,MSUMI.NS
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026,NATCOPHARM.NS
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031,NBCC.NS
NCC Ltd.,Construction,NCC,EQ,INE868B01028,NCC.NS
NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014,NLCINDIA.NS
NMDC Steel Ltd.,Metals & Mining,NSLNISP,EQ,INE0NNS01018,NSLNISP.NS
NTPC Green Energy Ltd.,Power,NTPCGREEN,EQ,INE0ONG01011,NTPCGREEN.NS
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011,NH.NS
Nava Ltd.,Power,NAVA,EQ,INE725A01030,NAVA.NS
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026,NAVINFLUOR.NS
Netweb Technologies India Ltd.,Information Technology,NETWEB,EQ,INE0NT901020,NETWEB.NS
Neuland Laboratories Ltd.,Healthcare,NEULANDLAB,EQ,INE794A01010,NEULANDLAB.NS
Newgen Software Technologies Ltd.,Information Technology,NEWGEN,EQ,INE619B01017,NEWGEN.NS
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013,NAM-INDIA.NS
Niva Bupa Health Insurance Company Ltd.,Financial Services,NIVABUPA,EQ,INE995S01015,NIVABUPA.NS
Nuvama Wealth Management Ltd.,Financial Services,NUVAMA,EQ,INE531F01023,NUVAMA.NS
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO,EQ,INE118D01016,NUVOCO.NS
Ola Electric Mobility Ltd.,Automobile and Auto Components,OLAELEC,EQ,INE0LXG01040,OLAELEC.NS
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,EQ,INE260D01016,OLECTRA.NS
Onesource Specialty Pharma Ltd.,Healthcare,ONESOURCE,EQ,INE013P01021,ONESOURCE.NS
PCBL Chemical Ltd.,Chemicals,PCBL,EQ,INE602A01031,PCBL.NS
PG Electroplast Ltd.,Consumer Durables,PGEL,EQ,INE457L01029,PGEL.NS
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012,PNBHOUSING.NS
PTC Industries Ltd.,Capital Goods,PTCIL,EQ,INE596F01018,PTCIL.NS
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,EQ,INE191H01014,PVRINOX.NS
Paradeep Phosphates Ltd.,Chemicals,PARADEEP,EQ,INE088F01024,PARADEEP.NS
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014,PETRONET.NS
Pfizer Ltd.,Healthcare,PFIZER,EQ,INE182A01018,PFIZER.NS
Physicswallah Ltd.,Consumer Services,PWL,EQ,INE0LP301011,PWL.NS
Pine Labs Ltd.,Financial Services,PINELABS,EQ,INE15B701018,PINELABS.NS
Piramal Finance Ltd.,Financial Services,PIRAMALFIN,EQ,INE202B01038,PIRAMALFIN.NS
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011,PPLPHARMA.NS
Poly Medicure Ltd.,Healthcare,POLYMED,EQ,INE205C01021,POLYMED.NS
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022,POONAWALLA.NS
Prime Focus Ltd.,Media Entertainment & Publication,PFOCUS,EQ,INE367G01038,PFOCUS.NS
R R Kabel Ltd.,Capital Goods,RRKABEL,EQ,INE777K01022,RRKABEL.NS
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028,RBLBANK.NS
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM,EQ,INE743M01012,RHIM.NS
RITES Ltd.,Construction,RITES,EQ,INE320J01015,RITES.NS
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,EQ,INE0DD101019,RAILTEL.NS
Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW,EQ,INE961O01016,RAINBOW.NS
Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE,EQ,INE399G01023,RKFORGE.NS
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026,REDINGTON.NS
Reliance Power Ltd.,Power,RPOWER,EQ,INE614G01033,RPOWER.NS
SBFC Finance Ltd.,Financial Services,SBFC,EQ,INE423Y01016,SBFC.NS
SJVN Ltd.,Power,SJVN,EQ,INE002L01015,SJVN.NS
Sagility Ltd.,Information Technology,SAGILITY,EQ,INE0W2G01015,SAGILITY.NS
Sai Life Sciences Ltd.,Healthcare,SAILIFE,EQ,INE570L01029,SAILIFE.NS
Sammaan Capital Ltd.,Financial Services,SAMMAANCAP,EQ,INE148I01020,SAMMAANCAP.NS
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,INE806T01020,SAPPHIRE.NS
Sarda Energy and Minerals Ltd.,Metals & Mining,SARDAEN,EQ,INE385C01021,SARDAEN.NS
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,EQ,INE979A01025,SAREGAMA.NS
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,EQ,INE513A01022,SCHAEFFLER.NS
Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER,EQ,INE839M01018,SCHNEIDER.NS
Shipping Corporation of India Ltd.,Services,SCI,EQ,INE109A01011,SCI.NS
Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL,EQ,INE810G01011,SHYAMMETL.NS
Signatureglobal (India) Ltd.,Realty,SIGNATURE,EQ,INE903U01023,SIGNATURE.NS
Sobha Ltd.,Realty,SOBHA,EQ,INE671H01015,SOBHA.NS
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018,SONACOMS.NS
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021,SONATSOFTW.NS
Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH,EQ,INE575P01011,STARHEALTH.NS
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,EQ,INE258G01013,SUMICHEM.NS
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027,SUNTV.NS
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013,SUNDARMFIN.NS
Supreme Petrochem Ltd.,Chemicals,SPLPETRO,EQ,INE663A01033,SPLPETRO.NS
Swan Corp Ltd.,Chemicals,SWANCORP,EQ,INE665A01038,SWANCORP.NS
Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022,SYNGENE.NS
Syrma SGS Technology Ltd.,Capital Goods,SYRMA,EQ,INE0DYJ01015,SYRMA.NS
TBO Tek Ltd.,Consumer Services,TBOTEK,EQ,INE673O01025,TBOTEK.NS
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019,TATACHEM.NS
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025,TATATECH.NS
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,EQ,INE517B01013,TTML.NS
Techno Electric & Engineering Company Ltd.,Construction,TECHNOE,EQ,INE285K01026,TECHNOE.NS
Tega Industries Ltd.,Capital Goods,TEGA,EQ,INE011K01018,TEGA.NS
Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012,TEJASNET.NS
Tenneco Clean Air India Ltd.,Automobile and Auto Components,TENNIND,EQ,INE19RI01016,TENNIND.NS
The New India Assurance Company Ltd.,Financial Services,NIACL,EQ,INE470Y01017,NIACL.NS
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037,RAMCOCEM.NS
Thermax Ltd.,Capital Goods,THERMAX,EQ,INE152A01029,THERMAX.NS
Timken India Ltd.,Capital Goods,TIMKEN,EQ,INE325A01013,TIMKEN.NS
Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH,EQ,INE615H01020,TITAGARH.NS
Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021,TORNTPOWER.NS
Transformers And Rectifiers (India) Ltd.,Capital Goods,TARIL,EQ,INE763I01026,TARIL.NS
